chair,80,124,111,129,1594373564697013223.png,346,260
chair,83,123,109,129,1594373564722013223.png,346,260
chair,85,120,110,129,1594373564747013223.png,346,260
chair,87,117,110,129,1594373564772013223.png,346,260
chair,88,115,110,131,1594373564797014223.png,346,260
chair,90,113,111,131,1594373564822014223.png,346,260
chair,91,113,111,130,1594373564847014223.png,346,260
chair,92,110,110,131,1594373564872014223.png,346,260
chair,90,97,113,134,1594373564972014223.png,346,260
chair,89,94,113,135,1594373564997014223.png,346,260
chair,89,96,112,134,1594373565022014223.png,346,260
chair,88,93,112,135,1594373565047014223.png,346,260
chair,88,91,112,134,1594373565072014223.png,346,260
chair,87,91,111,134,1594373565097014223.png,346,260
chair,87,90,111,135,1594373565122014223.png,346,260
chair,87,90,111,135,1594373565147014223.png,346,260
chair,88,89,109,135,1594373565172014223.png,346,260
chair,89,87,110,136,1594373565197014223.png,346,260
chair,90,84,110,136,1594373565222014223.png,346,260
chair,91,81,109,136,1594373565247014223.png,346,260
chair,95,77,109,136,1594373565372014223.png,346,260
chair,95,77,109,136,1594373565397014223.png,346,260
chair,95,76,108,137,1594373565422014223.png,346,260
chair,95,76,109,138,1594373565447014223.png,346,260
chair,90,76,108,140,1594373565547014223.png,346,260
chair,87,76,109,141,1594373565572015223.png,346,260
chair,87,75,109,140,1594373565597015223.png,346,260
chair,85,74,108,139,1594373565647015223.png,346,260
chair,83,72,107,141,1594373565672015223.png,346,260
chair,81,73,107,140,1594373565697015223.png,346,260
chair,79,72,107,141,1594373565722015223.png,346,260
chair,76,74,107,142,1594373565747015223.png,346,260
chair,74,77,107,141,1594373565772015223.png,346,260
chair,72,79,107,143,1594373565797015223.png,346,260
chair,68,79,108,143,1594373565872015223.png,346,260
chair,66,76,107,143,1594373565897015223.png,346,260
chair,67,70,105,142,1594373565972015223.png,346,260
chair,68,68,104,142,1594373565997015223.png,346,260
chair,67,67,102,141,1594373566072015223.png,346,260
chair,66,66,102,143,1594373566097015223.png,346,260
chair,66,67,104,141,1594373566122015223.png,346,260
chair,67,66,103,143,1594373566147015223.png,346,260
chair,69,66,103,142,1594373566172015223.png,346,260
chair,70,67,103,142,1594373566222015223.png,346,260
chair,71,69,102,142,1594373566247015223.png,346,260
chair,71,71,103,142,1594373566272015223.png,346,260
